target,run,generation,regression-function,?
0,0,1,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,2,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,3,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,4,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,5,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,6,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,7,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,8,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,9,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,10,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
