target,run,generation,regression-function,?
0,0,1,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,2,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,3,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,4,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,5,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,6,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,7,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,8,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,9,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,10,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,11,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,12,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,13,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,14,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,15,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,16,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,17,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,18,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,19,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,20,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
0,0,21,"plus(minus(divide(pow(sqrt(PI),plus(PI,33.0)),plus(plus(x0,-24.0),minus(PI,-32.0))),plus(sqrt(pow(PI,-3.0)),sqrt(sqrt(-13.0)))),multiply(multiply(sqrt(divide(43.0,PI)),sqrt(pow(32.0,x0))),minus(plus(pow(27.0,-31.0),divide(x0,-35.0)),minus(pow(x0,x0),sqrt(x0)))))",0.0
