start_node,end_node,start_lat,start_lon,end_lat,end_lon,length,duration,oneway
20973982,6032701202,53.2156714,8.6520632,53.2160663,8.6516472,51.917,3.738024,True
20973983,6032600288,53.2228475,8.6458068,53.2241049,8.6449742,150.403,10.829016,True
20973984,3205252752,53.2300056,8.6415841,53.2313747,8.640938,158.195,11.390039999999999,True
20973985,6032556032,53.2402391,8.6376088,53.2415002,8.6372709,142.019,10.225368,True
20973986,917264502,53.2490619,8.6358268,53.2498245,8.6357499,84.952,6.116543999999999,True
20973987,917264476,53.2600457,8.6356746,53.2622317,8.635823,243.273,17.515656,True
20973988,917264465,53.2702855,8.6361298,53.2708851,8.6360756,66.77,4.80744,True
20973989,917264413,53.2774468,8.6343721,53.2779206,8.6341488,54.736,3.9409919999999996,True
26022298,144098166,53.2279589,8.6426396,53.2281787,8.6425254,25.596,1.8429119999999999,True
26022298,1549457575,53.2279589,8.6426396,53.2280799,8.6426824,13.753,0.618885,True
26022299,2490138909,53.2273156,8.6427941,53.2271784,8.6427722,15.325,0.9194999999999999,True
26022299,1593997405,53.2273156,8.6427941,53.2270431,8.6429493,32.013,2.3049359999999997,True
26082972,26082973,53.2281611,8.6446575,53.2277142,8.6447235,49.887,2.99322,True
26082973,91345154,53.2277142,8.6447235,53.2277392,8.6449316,14.128,0.7265828571428572,False
26082973,1551662579,53.2277142,8.6447235,53.2275752,8.6433089,95.424,4.907520000000001,False
26082974,1549457487,53.2274923,8.6421527,53.2274631,8.6415253,41.889,2.1542914285714287,False
26082974,3903320857,53.2274923,8.6421527,53.2275208,8.6425496,26.609,1.3684628571428574,False
26082982,280833760,53.2273777,8.6344075,53.2282061,8.6338826,98.518,11.822159999999998,False
26082982,2663764055,53.2273777,8.6344075,53.2274273,8.6347255,21.875,1.125,False
26082982,1551662558,53.2273777,8.6344075,53.2272605,8.6337625,44.869,2.3075485714285717,False
26083003,1346338854,53.2293124,8.614668,53.229383,8.6143779,20.845,0.75042,False
26083003,1346338833,53.2293124,8.614668,53.2291248,8.6152853,46.081,1.658916,False
26083008,2295107576,53.2289254,8.6048643,53.2286462,8.6038232,75.936,2.733696,False
26083008,290210440,53.2289254,8.6048643,53.2291516,8.6058679,71.381,2.569716,False
26083009,282422417,53.2282839,8.6027184,53.2279297,8.6017643,74.731,2.6903159999999997,False
26083009,2295107576,53.2282839,8.6027184,53.2286462,8.6038232,83.852,3.018672,False
26083014,2680821337,53.2253536,8.5950841,53.2253744,8.5953189,15.801,1.137672,False
26083014,290468820,53.2253536,8.5950841,53.2253247,8.5946355,30.035,2.1625199999999998,False
26083016,10015391591,53.2253081,8.5940216,53.225057,8.5939692,28.138,2.025936,False
26083016,290468819,53.2253081,8.5940216,53.2257637,8.5941347,51.217,3.687624,False
26083016,10015391590,53.2253081,8.5940216,53.2252898,8.5932195,53.434,3.8472479999999996,False
26083016,290468820,53.2253081,8.5940216,53.2253247,8.5946355,40.908,2.945376,False
26083019,1575755949,53.2230718,8.5932479,53.2229814,8.5935259,21.061,2.52732,False
26083019,9879077382,53.2230718,8.5932479,53.2226467,8.5927888,56.289,4.052808,False
26083019,281052095,53.2230718,8.5932479,53.2234044,8.5934805,40.094,2.886768,False
26083022,280838833,53.2199417,8.5897553,53.2193187,8.5912975,123.861,14.86332,False
26083022,1574689266,53.2199417,8.5897553,53.2198339,8.5896363,14.368,1.034496,False
26083022,4384594964,53.2199417,8.5897553,53.2201809,8.5900243,32.065,2.30868,False
26083025,3999645269,53.2172184,8.5866928,53.2167762,8.5861945,59.317,4.270824,False
26083025,1300537981,53.2172184,8.5866928,53.2173698,8.5868534,19.944,1.435968,False
26083025,1574689244,53.2172184,8.5866928,53.2170525,8.5871226,34.047,4.08564,False
26083027,4381934242,53.2163383,8.5894431,53.2162791,8.5895692,10.669,1.2802799999999999,False
26083027,4381934310,53.2163383,8.5894431,53.2164718,8.5889201,37.855,4.542599999999999,False
26083029,280838833,53.2189697,8.5921355,53.2193187,8.5912975,67.962,8.15544,False
26083029,8251526827,53.2189697,8.5921355,53.2188134,8.5925171,30.782,3.69384,False
26083046,3612810912,53.230553,8.595171,53.2309141,8.5952036,40.211,2.8951919999999998,False
26083046,3724710924,53.230553,8.595171,53.230425,8.5951512,14.294,1.029168,False
26083048,2295108241,53.2319703,8.5951961,53.233275,8.5951522,145.106,10.447631999999999,False
26083048,2295107922,53.2319703,8.5951961,53.2318994,8.5951957,7.884,0.567648,False
26083048,2682483757,53.2319703,8.5951961,53.2317503,8.5938366,93.735,6.74892,False
26083051,3659412615,53.2313208,8.5910834,53.2313099,8.5909516,8.856,0.637632,False
26083051,3659424128,53.2313208,8.5910834,53.2313906,8.5915385,31.27,2.25144,False
26083053,2295107726,53.231258,8.5768637,53.2312819,8.5781852,87.999,4.525662857142858,False
26083053,2295107700,53.231258,8.5768637,53.2311984,8.5747829,138.656,7.130880000000001,False
26083057,2295107700,53.2311067,8.5727789,53.2311984,8.5747829,133.776,6.879908571428572,False
26083057,2295107679,53.2311067,8.5727789,53.2310759,8.5715969,78.749,4.049948571428572,False
26083060,2295107679,53.2310288,8.5697351,53.2310759,8.5715969,124.032,6.378788571428572,False
26083060,280852632,53.2310288,8.5697351,53.2310178,8.5683557,91.821,4.7222228571428575,False
26083061,2295107673,53.2310597,8.5649341,53.2310468,8.5656367,46.787,2.406188571428572,False
26083061,2295107681,53.2310597,8.5649341,53.2310929,8.5638486,72.345,3.7206,False
26083062,2295107681,53.2311564,8.5624601,53.2310929,8.5638486,92.688,4.766811428571429,False
26083062,280853919,53.2311564,8.5624601,53.2312784,8.5604189,136.538,7.021954285714287,False
26083063,280853919,53.2314307,8.5579134,53.2312784,8.5604189,167.623,8.62061142857143,False
26083063,2295107793,53.2314307,8.5579134,53.2315331,8.556193,115.074,5.918091428571429,False
26083064,2295107877,53.231886,8.5504706,53.2317649,8.5525063,136.162,7.002617142857144,False
26083064,2295107941,53.231886,8.5504706,53.2319517,8.5494765,66.568,3.4234971428571432,False
26083065,2295107951,53.2320007,8.5478026,53.2319969,8.5481943,26.074,1.3409485714285716,False
26083065,2295107947,53.2320007,8.5478026,53.231973,8.5472657,35.868,1.8446400000000003,False
26083066,2295107908,53.2317286,8.5457002,53.2318386,8.5462117,36.176,1.8604800000000004,False
26083066,2295107819,53.2317286,8.5457002,53.2316097,8.5452723,31.4,1.614857142857143,False
26083067,2295107676,53.2308437,8.5435698,53.2310699,8.5439635,36.323,1.8680400000000001,False
26083067,2295107659,53.2308437,8.5435698,53.2305221,8.543081,48.346,2.4863657142857143,False
26083068,2295107636,53.2293139,8.5415049,53.2298893,8.5422356,80.369,4.133262857142857,False
26083068,2295107582,53.2293139,8.5415049,53.228826,8.540878,68.444,3.5199771428571434,False
26083069,2295107522,53.2271537,8.5386785,53.2278566,8.5396276,100.5,5.168571428571429,False
26083069,26083070,53.2271537,8.5386785,53.2254603,8.5365624,235.157,12.093788571428574,False
26083070,26083069,53.2254603,8.5365624,53.2271537,8.5386785,235.157,12.093788571428574,False
26083070,1332783832,53.2254603,8.5365624,53.2247927,8.5356725,94.974,4.884377142857144,False
26083071,1332783832,53.2240951,8.5346755,53.2247927,8.5356725,102.089,5.250291428571429,False
26083071,29766165,53.2240951,8.5346755,53.2238138,8.5341659,46.144,2.37312,False
26083072,259698681,53.2234946,8.5335124,53.2236261,8.5337941,23.78,1.2229714285714288,False
26083072,1332783879,53.2234946,8.5335124,53.2232921,8.5330401,38.673,1.9888971428571431,False
26083073,1332783879,53.2231089,8.5325351,53.2232921,8.5330401,39.309,2.0216057142857142,False
26083073,1332783824,53.2231089,8.5325351,53.2229229,8.5319527,43.943,2.2599257142857145,False
26083074,3611725608,53.2224725,8.5300032,53.2225422,8.5303899,26.885,1.382657142857143,False
26083074,3611725602,53.2224725,8.5300032,53.2223897,8.5294911,35.314,1.8161485714285717,False
29765883,271899371,53.2346471,8.5272962,53.234748,8.5273915,12.888,0.927936,False
29765883,3524072167,53.2346471,8.5272962,53.2341564,8.5267751,64.653,4.655016000000001,False
29765884,3524072167,53.2340629,8.5266895,53.2341564,8.5267751,11.855,0.85356,False
29765884,290465468,53.2340629,8.5266895,53.2339663,8.5266212,11.664,0.839808,False
29765886,2295108199,53.2331417,8.5265574,53.2332166,8.5265458,8.364,0.6022080000000001,False
29765886,2295108130,53.2331417,8.5265574,53.2329077,8.5266216,26.368,1.8984959999999997,False
29765887,2295108130,53.2326536,8.5267399,53.2329077,8.5266216,29.331,2.1118319999999997,False
29765887,2295108072,53.2326536,8.5267399,53.2324572,8.5268825,23.812,1.714464,False
29765888,2295108027,53.2321755,8.5271292,53.23231,8.5270114,16.886,1.215792,False
29765888,281227557,53.2321755,8.5271292,53.2318003,8.5275253,49.352,3.5533439999999996,False
29765969,299797666,53.2467278,8.5934865,53.2461159,8.5929533,76.734,3.94632,False
29765969,298418878,53.2467278,8.5934865,53.2481584,8.5947298,179.299,9.22109142857143,False
29765970,8247962973,53.2484483,8.5949349,53.248314,8.5948399,16.216,0.8339657142857144,False
29765970,298273959,53.2484483,8.5949349,53.2488527,8.5951387,46.967,2.415445714285714,False
29765972,4384594967,53.2511395,8.5961471,53.2510528,8.5961101,9.95,0.5117142857142857,False
29765972,8835624918,53.2511395,8.5961471,53.2512201,8.5961815,9.25,0.47571428571428576,False
29765973,298273964,53.2528501,8.5968769,53.2521276,8.5965686,82.915,4.264200000000001,False
29765973,268845883,53.2528501,8.5968769,53.2534637,8.5971694,70.95,3.6488571428571435,False
29765974,600878190,53.2544758,8.5977029,53.2541622,8.5975287,36.746,1.889794285714286,False
29765974,8837807941,53.2544758,8.5977029,53.2559188,8.5985543,170.157,8.75093142857143,False
29765976,1345233650,53.2577878,8.5996556,53.2593551,8.6005258,183.637,9.444188571428572,False
29765976,298445234,53.2577878,8.5996556,53.2579067,8.5989596,48.148,3.466656,False
29765976,298272459,53.2577878,8.5996556,53.257452,8.5994589,39.565,2.0347714285714287,False
29765988,1583674526,53.2716718,8.5988884,53.2715978,8.5989325,8.735,0.4492285714285714,False
29765988,1583674528,53.2716718,8.5988884,53.2717004,8.5990035,8.288,0.99456,False
29765988,1583674527,53.2716718,8.5988884,53.2716863,8.5987371,10.189,1.22268,False
29765992,4052985118,53.2715702,8.5968197,53.2716111,8.5967568,6.179,0.74148,False
29765992,4052985117,53.2715702,8.5968197,53.2715381,8.5969634,10.201,1.2241199999999999,False
29766153,4009283297,53.2288595,8.5881845,53.2289947,8.5898639,112.793,13.53516,False
29766153,2396842485,53.2288595,8.5881845,53.2288481,8.5880181,11.148,1.3377599999999998,False
29766153,8838245823,53.2288595,8.5881845,53.2295619,8.5886119,83.123,5.984856,False
29766153,1848073393,53.2288595,8.5881845,53.2286813,8.5881346,20.091,2.41092,False
29766165,26083071,53.2238138,8.5341659,53.2240951,8.5346755,46.144,2.37312,False
29766165,259698681,53.2238138,8.5341659,53.2236261,8.5337941,32.377,1.6651028571428574,False
30501890,6032600289,53.2251738,8.6440626,53.2240551,8.6447865,133.402,9.604943999999998,True
31435449,3521694731,53.2338787,8.5138541,53.233945,8.5138423,7.414,0.533808,False
31435449,3524072064,53.2338787,8.5138541,53.2337957,8.5138737,9.321,0.6711119999999999,False
31435450,3521694708,53.2334972,8.5139306,53.23367,8.5139033,19.3,1.3896,False
31435450,2295108269,53.2334972,8.5139306,53.2333287,8.5139445,18.759,1.350648,False
31435551,466108323,53.2558817,8.5637789,53.2554287,8.5663694,179.536,12.926592,False
31435551,9362620948,53.2558817,8.5637789,53.2556707,8.5637168,23.823,1.715256,False
80216617,280830225,53.2288824,8.6511231,53.2317247,8.653813,363.241,18.680965714285716,False
80216617,91345590,53.2288824,8.6511231,53.2287231,8.6510029,19.437,0.999617142857143,True
80218285,298261844,53.2380462,8.6541512,53.2384172,8.6542174,41.488,2.1336685714285717,False
80218285,7540421115,53.2380462,8.6541512,53.2379832,8.6541171,7.364,0.37872,False
80218288,271849191,53.2439146,8.6556657,53.2421622,8.6549248,200.998,10.33704,False
80218288,3195177866,53.2439146,8.6556657,53.2440108,8.6562543,40.6,2.9232,False
80218288,271934672,53.2439146,8.6556657,53.2439746,8.6537195,129.672,9.336383999999999,False
80218295,297870916,53.2439955,8.6571495,53.2440048,8.6566843,30.972,2.229984,False
91345146,5483590831,53.2286987,8.6561941,53.2286744,8.6530812,207.224,10.657234285714287,False
91345146,1551662583,53.2286987,8.6561941,53.2287193,8.658324,141.793,7.29221142857143,False
91345150,5483590832,53.2285216,8.6507883,53.2284786,8.6504331,24.122,1.24056,False
91345150,91346494,53.2285216,8.6507883,53.2286061,8.6514463,44.796,2.303794285714286,False
91345151,469192858,53.2280952,8.6475984,53.2281991,8.6483996,54.569,2.806405714285715,False
91345151,2010467881,53.2280952,8.6475984,53.2278155,8.6455676,138.712,7.13376,False
91345154,2010467132,53.2277392,8.6449316,53.2280016,8.6448204,30.102,1.083672,True
91345154,26082973,53.2277392,8.6449316,53.2277142,8.6447235,14.128,0.7265828571428572,False
91345154,2010467881,53.2277392,8.6449316,53.2278155,8.6455676,43.177,2.220531428571429,False
91345590,91345591,53.2287231,8.6510029,53.2286204,8.6509514,11.923,0.6131828571428571,True
91345591,91345150,53.2286204,8.6509514,53.2285216,8.6507883,15.445,0.7943142857142858,True
91346494,5483590834,53.2286061,8.6514463,53.2286517,8.6522097,51.067,2.6263028571428575,False
91346494,91346495,53.2286061,8.6514463,53.2286563,8.6511917,17.843,0.9176400000000001,True
